Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,8/28/2024,,,,,,,,
Time:,1:41:24 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
F7,0.153999999165535,0.151299998164177,0.151500001549721,0.154499992728233,0.16159999370575,0.174400001764297,0.195500001311302,0.228200003504753,0.276100009679794
F8,0.155799999833107,0.153099998831749,0.152500003576279,0.155000001192093,0.162499994039536,0.174999997019768,0.199399992823601,0.233700007200241,0.28439998626709
F9,0.153400003910065,0.151500001549721,0.151099994778633,0.154499992728233,0.16329999268055,0.178399994969368,0.204300001263618,0.2432000041008,0.295399993658066
F10,0.149800002574921,0.149000003933907,0.148800000548363,0.152999997138977,0.163200005888939,0.180800005793571,0.209700003266335,0.250600010156631,0.297100007534027
F11,0.143099993467331,0.141299992799759,0.140900000929832,0.143600001931191,0.150099992752075,0.160600006580353,0.176300004124641,0.200000002980232,0.232999995350838
G2,0.168400004506111,0.16159999370575,0.160699993371964,0.159500002861023,0.160099998116493,0.161899998784065,0.165999993681908,0.172499999403954,0.183799996972084
G3,0.158899992704391,0.160300001502037,0.159199997782707,0.160400003194809,0.16609999537468,0.175200000405312,0.192800000309944,0.219500005245209,0.260500013828278
G4,0.162100002169609,0.168699994683266,0.168099999427795,0.167199999094009,0.171399995684624,0.172800004482269,0.18529999256134,0.202000007033348,0.230399996042252
G5,0.161100000143051,0.167600005865097,0.165299996733665,0.165399998426437,0.169599995017052,0.177799999713898,0.192100003361702,0.213499993085861,0.245299994945526
G6,0.161799997091293,0.167199999094009,0.165399998426437,0.165299996733665,0.168799996376038,0.175999999046326,0.188199996948242,0.207499995827675,0.237700000405312
G7,0.156200006604195,0.153899997472763,0.152799993753433,0.156200006604195,0.164499998092651,0.178800001740456,0.202800005674362,0.238800004124641,0.289700001478195
G8,0.156499996781349,0.153500005602837,0.152500003576279,0.153899997472763,0.162300005555153,0.175999999046326,0.199499994516373,0.235200002789497,0.286900013685226
G9,0.154599994421005,0.151600003242493,0.151099994778633,0.154300004243851,0.162300005555153,0.176400005817413,0.200000002980232,0.236100003123283,0.286500006914139
G10,0.147900000214577,0.147699996829033,0.147599995136261,0.151500001549721,0.160500004887581,0.176300004124641,0.202800005674362,0.241300001740456,0.292100012302399
G11,0.143500000238419,0.140699997544289,0.140699997544289,0.143700003623962,0.151199996471405,0.163499996066093,0.18359999358654,0.213699996471405,0.255199998617172
,,,,,,,,,
,,,,,,,,,
End Time:,,,,,,,,,
