"","time","well","strain","rbs","experiment","groupID","OD660","growthrate","fluor","expression"
"193",40500,"B6","GFP50","R4",1,"1 GFP50 R4",0.835069983452559,-0.00513605660587493,7117.1,-65799.6907623182
"194",41400,"B6","GFP50","R4",1,"1 GFP50 R4",0.83484001159668,-0.0042432772644346,7034.1,-169198.018237029
"195",42300,"B6","GFP50","R4",1,"1 GFP50 R4",0.834399988502264,-0.00270491826509583,7087.8,-99116.3318003029
"196",43200,"B6","GFP50","R4",1,"1 GFP50 R4",0.835379974544048,-0.000670176927831667,7064.2,16811.8344919257
"197",0,"B7","GFP90","R2",1,"1 GFP90 R2",0.0230600021779537,NA,309.9,NA
"198",900,"B7","GFP90","R2",1,"1 GFP90 R2",0.0251999989151955,NA,266.9,NA
"199",1800,"B7","GFP90","R2",1,"1 GFP90 R2",0.0361100003123283,NA,274.6,NA
"200",2700,"B7","GFP90","R2",1,"1 GFP90 R2",0.0543499954044819,NA,300.1,NA
"201",3600,"B7","GFP90","R2",1,"1 GFP90 R2",0.0827899985015392,1.27820765376301,349,3177283.25988306
"202",4500,"B7","GFP90","R2",1,"1 GFP90 R2",0.118849997967482,1.55101822523508,435.6,9570123.1804736
"203",5400,"B7","GFP90","R2",1,"1 GFP90 R2",0.164159990102053,1.51427165774916,547.5,10766230.1992126
"204",6300,"B7","GFP90","R2",1,"1 GFP90 R2",0.212159997969866,1.36189616841555,697.4,11309959.0814892
"205",7200,"B7","GFP90","R2",1,"1 GFP90 R2",0.266109988093376,1.16760244934032,902.9,11812053.8856315
"206",8100,"B7","GFP90","R2",1,"1 GFP90 R2",0.326540001481771,1.01069028053115,1055.1,10250777.0127133
"207",9000,"B7","GFP90","R2",1,"1 GFP90 R2",0.397690009325743,0.884831329078062,1224.7,8919263.10581487
"208",9900,"B7","GFP90","R2",1,"1 GFP90 R2",0.44996000379324,0.751818000926181,1375.3,7384263.45878077
"209",10800,"B7","GFP90","R2",1,"1 GFP90 R2",0.491449976712465,0.613450445235785,1475.8,5338268.46638184
"210",11700,"B7","GFP90","R2",1,"1 GFP90 R2",0.533720021694899,0.491318940286871,1561.8,4146933.62889941
"211",12600,"B7","GFP90","R2",1,"1 GFP90 R2",0.591370000690222,0.396769049444656,1616.3,2860493.69774838
"212",13500,"B7","GFP90","R2",1,"1 GFP90 R2",0.626320009678602,0.330702739697989,1666.9,1949183.37486348
"213",14400,"B7","GFP90","R2",1,"1 GFP90 R2",0.658739978820086,0.292968729695256,1658.3,1132133.99987685
"214",15300,"B7","GFP90","R2",1,"1 GFP90 R2",0.68419002071023,0.248364289574246,1679.2,682924.299987611
"215",16200,"B7","GFP90","R2",1,"1 GFP90 R2",0.701999995112419,0.171491516852838,1724.9,599150.375157795
"216",17100,"B7","GFP90","R2",1,"1 GFP90 R2",0.72263001576066,0.143035918354184,1726.7,317159.119836532
"217",18000,"B7","GFP90","R2",1,"1 GFP90 R2",0.739240027219057,0.115293780915345,1742.1,430135.731669111
"218",18900,"B7","GFP90","R2",1,"1 GFP90 R2",0.754659978300333,0.0980316008425236,1746.6,336745.566545784
"219",19800,"B7","GFP90","R2",1,"1 GFP90 R2",0.767420014739037,0.0891008616433819,1755.6,149920.643343708
"220",20700,"B7","GFP90","R2",1,"1 GFP90 R2",0.778640026599169,0.07465148587233,1758.6,152607.642725881
"221",21600,"B7","GFP90","R2",1,"1 GFP90 R2",0.788290009647608,0.0642433864603585,1769.7,129772.087159199
"222",22500,"B7","GFP90","R2",1,"1 GFP90 R2",0.801990018785,0.0608288744443797,1776.6,138781.802448882
"223",23400,"B7","GFP90","R2",1,"1 GFP90 R2",0.812289999425411,0.0568231598442951,1759.8,19145.8806409256
"224",24300,"B7","GFP90","R2",1,"1 GFP90 R2",0.820260015130043,0.0520725393380802,1775.5,76022.0605701997
"225",25200,"B7","GFP90","R2",1,"1 GFP90 R2",0.829960016161203,0.0515114716322796,1758,-51964.2016799184
"226",26100,"B7","GFP90","R2",1,"1 GFP90 R2",0.838200022280216,0.0441605996881643,1766.8,-42996.0750027203
