"","time","well","strain","rbs","experiment","groupID","OD660","growthrate","fluor","expression"
"1518",42300,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.912669988721609,-0.00096380708156539,2.06763074048853,-0.867704230974627
"1519",43200,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.898909957706928,-0.0206005174502468,2.15742366240804,-0.198835821136546
"1520",0,"C5","MCH75","R2",2,"2 MCH75 R2",0.215079986304045,NA,0.296837548351234,NA
"1521",900,"C5","MCH75","R2",2,"2 MCH75 R2",0.114079988002777,NA,0.500904360692983,NA
"1522",1800,"C5","MCH75","R2",2,"2 MCH75 R2",0.104429989308119,NA,0.617001626351269,NA
"1523",2700,"C5","MCH75","R2",2,"2 MCH75 R2",0.141179999709129,NA,0.403994568195893,NA
"1524",3600,"C5","MCH75","R2",2,"2 MCH75 R2",0.181939989328384,-0.167333084523725,0.270176919369047,-0.388202374123534
"1525",4500,"C5","MCH75","R2",2,"2 MCH75 R2",0.184730009734631,0.481995500766095,0.31890939523123,0.0487078662201455
"1526",5400,"C5","MCH75","R2",2,"2 MCH75 R2",0.217599986493587,0.734141564803658,0.179587348711332,-0.611058691998682
"1527",6300,"C5","MCH75","R2",2,"2 MCH75 R2",0.261810006201267,0.617583403622421,0.341930077600108,0.658079188810801
"1528",7200,"C5","MCH75","R2",2,"2 MCH75 R2",0.302819988131523,0.509461626647725,0.429450717921295,1.40813433533192
"1529",8100,"C5","MCH75","R2",2,"2 MCH75 R2",0.355179984867573,0.653729308354417,0.703004450586646,2.88594215410253
"1530",9000,"C5","MCH75","R2",2,"2 MCH75 R2",0.392659974098206,0.590285578593783,1.1866158873308,5.57959277322721
"1531",9900,"C5","MCH75","R2",2,"2 MCH75 R2",0.418620018661022,0.469344558227208,1.70130167679695,7.19405962761154
"1532",10800,"C5","MCH75","R2",2,"2 MCH75 R2",0.458240003883839,0.41425454242073,2.24228532900301,9.31205477195263
"1533",11700,"C5","MCH75","R2",2,"2 MCH75 R2",0.472600024938583,0.285624756900214,3.12852110146173,11.7183620528468
"1534",12600,"C5","MCH75","R2",2,"2 MCH75 R2",0.495769988000393,0.233168053791289,3.4124306688947,10.9553565451164
"1535",13500,"C5","MCH75","R2",2,"2 MCH75 R2",0.52787998393178,0.231905322952802,4.24491443702837,12.8827269921348
"1536",14400,"C5","MCH75","R2",2,"2 MCH75 R2",0.539699988812208,0.163620336087166,4.51596913652797,11.304380664556
"1537",15300,"C5","MCH75","R2",2,"2 MCH75 R2",0.565080031007528,0.178717951394565,4.71194288781775,9.10474446649153
"1538",16200,"C5","MCH75","R2",2,"2 MCH75 R2",0.599830002337694,0.190534200336655,4.63870177681027,7.99521884439619
"1539",17100,"C5","MCH75","R2",2,"2 MCH75 R2",0.601959998905659,0.131322041391079,5.1421685357853,6.02991338607338
"1540",18000,"C5","MCH75","R2",2,"2 MCH75 R2",0.619769990444183,0.138335017158372,5.22758359804924,5.48556176652426
"1541",18900,"C5","MCH75","R2",2,"2 MCH75 R2",0.645790015906096,0.133507029248281,5.16130449582854,4.42215695510558
"1542",19800,"C5","MCH75","R2",2,"2 MCH75 R2",0.675980022549629,0.119517237531303,5.12198730728326,4.32616741689894
"1543",20700,"C5","MCH75","R2",2,"2 MCH75 R2",0.730819997936487,0.193976192474009,5.20678154261088,4.33580288103767
"1544",21600,"C5","MCH75","R2",2,"2 MCH75 R2",0.754490024596453,0.196693630856385,4.9079441780113,2.70274730452814
"1545",22500,"C5","MCH75","R2",2,"2 MCH75 R2",0.776770029962063,0.184669936660017,5.05998135382774,3.33341484830062
"1546",23400,"C5","MCH75","R2",2,"2 MCH75 R2",0.760909983515739,0.118351540598785,5.16249035197581,2.51869761458476
"1547",24300,"C5","MCH75","R2",2,"2 MCH75 R2",0.755299995839596,0.0329478272365587,5.39387881206674,1.42274185317129
"1548",25200,"C5","MCH75","R2",2,"2 MCH75 R2",0.766679999232292,0.0160274464912071,5.47134294220531,2.5786834543484
"1549",26100,"C5","MCH75","R2",2,"2 MCH75 R2",0.781879998743534,0.0065569396532682,5.45259717535664,1.73281967213515
"1550",27000,"C5","MCH75","R2",2,"2 MCH75 R2",0.806160021573305,0.0577671969690317,5.73568380609298,3.59442579655219
"1551",27900,"C5","MCH75","R2",2,"2 MCH75 R2",0.826529984176159,0.0901211792869583,5.43763548544868,2.13573879400384
"1552",28800,"C5","MCH75","R2",2,"2 MCH75 R2",0.84801003485918,0.10082296588133,5.3536314681123,1.71328731261934
"1553",29700,"C5","MCH75","R2",2,"2 MCH75 R2",0.8652100071311,0.101270985797581,5.71286738848728,3.29257715951038
"1554",30600,"C5","MCH75","R2",2,"2 MCH75 R2",0.867249985784292,0.0730450087254305,5.93468040568172,2.4825665887027
"1555",31500,"C5","MCH75","R2",2,"2 MCH75 R2",0.831930013746023,0.00651212409128094,5.44267614345563,0.158327063165257
"1556",32400,"C5","MCH75","R2",2,"2 MCH75 R2",0.829440027475357,-0.0221416618732521,5.87250635209221,1.56044837498925
"1557",33300,"C5","MCH75","R2",2,"2 MCH75 R2",0.800309993326664,-0.0779731160046691,5.36413889585515,-3.09887636431633
"1558",34200,"C5","MCH75","R2",2,"2 MCH75 R2",0.856940003484488,-0.0119593609137173,5.73390805610092,-1.11439823291151
"1559",35100,"C5","MCH75","R2",2,"2 MCH75 R2",0.802609988301992,-0.0358794165025191,5.82096277195393,0.699001135795303
"1560",36000,"C5","MCH75","R2",2,"2 MCH75 R2",0.83140002861619,0.0023602538288279,5.82668207200515,-0.12904695008216
"1561",36900,"C5","MCH75","R2",2,"2 MCH75 R2",0.796369979530573,-0.00493526800644672,5.56084241171165,0.663044325762702
"1562",37800,"C5","MCH75","R2",2,"2 MCH75 R2",0.797029994428158,-0.0724755962990575,6.36243774166652,0.770935538983962
"1563",38700,"C5","MCH75","R2",2,"2 MCH75 R2",0.807549984753132,0.00613605111727861,6.17387691569276,1.55516460498291
"1564",39600,"C5","MCH75","R2",2,"2 MCH75 R2",0.816320023685694,-0.018304597269164,5.87863371771794,-0.224553868761032
"1565",40500,"C5","MCH75","R2",2,"2 MCH75 R2",0.814439994841814,0.0224368779059468,5.45990786974016,0.0906780486870353
"1566",41400,"C5","MCH75","R2",2,"2 MCH75 R2",0.811830026656389,0.018398679226547,6.60063305935853,1.42093558218233
"1567",42300,"C5","MCH75","R2",2,"2 MCH75 R2",0.82336995229125,0.0194006626278493,5.55166948638124,-2.03576950004218
"1568",43200,"C5","MCH75","R2",2,"2 MCH75 R2",0.799810023605824,-0.0204322349940285,5.75776374175039,-0.952976978414492
"1569",0,"C7","MCH90","R4",2,"2 MCH90 R4",0.143979989737272,NA,0.0971729626151935,NA
"1570",900,"C7","MCH90","R4",2,"2 MCH90 R4",0.126080012321472,NA,0.159863264401961,NA
"1571",1800,"C7","MCH90","R4",2,"2 MCH90 R4",0.152330010384321,NA,0.130907504169552,NA
"1572",2700,"C7","MCH90","R4",2,"2 MCH90 R4",0.165080001950264,NA,0.111704598495061,NA
"1573",3600,"C7","MCH90","R4",2,"2 MCH90 R4",0.172939985990524,0.183270302762246,0.104457963847522,0.107152631929005
"1574",4500,"C7","MCH90","R4",2,"2 MCH90 R4",0.206329987943172,0.49256004652548,0.0932693973101969,-0.0221519938896414
"1575",5400,"C7","MCH90","R4",2,"2 MCH90 R4",0.278800009191036,0.604445423534273,0.0324938368473624,-0.223107793260546
"1576",6300,"C7","MCH90","R4",2,"2 MCH90 R4",0.307309986650944,0.621426749960536,0.0627961331546423,0.0151740623377665
"1577",7200,"C7","MCH90","R4",2,"2 MCH90 R4",0.342319986224174,0.682801299341465,0.0667089980565775,0.0729657360540191
"1578",8100,"C7","MCH90","R4",2,"2 MCH90 R4",0.403080005943775,0.669658297795639,0.0808573302419086,0.173590227081384
"1579",9000,"C7","MCH90","R4",2,"2 MCH90 R4",0.483959984779358,0.551507515370288,0.107662357448337,0.474202179110413
"1580",9900,"C7","MCH90","R4",2,"2 MCH90 R4",0.520819990336895,0.527547507402154,0.145741314692506,0.550254072055969
"1581",10800,"C7","MCH90","R4",2,"2 MCH90 R4",0.552140028774738,0.478055757557485,0.222133398575726,0.867063813514482
"1582",11700,"C7","MCH90","R4",2,"2 MCH90 R4",0.580799978971481,0.365271359146362,0.325064717920365,1.22957815543287
"1583",12600,"C7","MCH90","R4",2,"2 MCH90 R4",0.600870023667812,0.21637641714742,0.397888507233236,1.36548372294158
"1584",13500,"C7","MCH90","R4",2,"2 MCH90 R4",0.633079976588488,0.195192285423619,0.541234239820341,1.84741244735726
"1585",14400,"C7","MCH90","R4",2,"2 MCH90 R4",0.648799972981215,0.161322771733451,0.632637452231288,1.9087268429313
"1586",15300,"C7","MCH90","R4",2,"2 MCH90 R4",0.677080019563437,0.153383035910271,0.754580444801356,2.05126846454938
"1587",16200,"C7","MCH90","R4",2,"2 MCH90 R4",0.691729993373156,0.140817052119222,0.990843734915175,2.74524877490249
"1588",17100,"C7","MCH90","R4",2,"2 MCH90 R4",0.682259972393513,0.0748140169166476,1.45778922060054,3.91213001252437
"1589",18000,"C7","MCH90","R4",2,"2 MCH90 R4",0.676069974899292,0.041172122693521,1.86250926850346,5.02811927512644
"1590",18900,"C7","MCH90","R4",2,"2 MCH90 R4",0.693190013617277,0.0235146883159075,2.12498418049565,5.62581083136814
"1591",19800,"C7","MCH90","R4",2,"2 MCH90 R4",0.702379992604256,0.0152788610921596,2.3727701192895,5.6952716558421
"1592",20700,"C7","MCH90","R4",2,"2 MCH90 R4",0.720920024067163,0.0551174311071713,2.70554213167795,5.50180021669389
"1593",21600,"C7","MCH90","R4",2,"2 MCH90 R4",0.731090015918016,0.0782400091088146,2.73191646909122,4.18935056573006
"1594",22500,"C7","MCH90","R4",2,"2 MCH90 R4",0.739169989526272,0.0642237693881038,2.91185624951162,3.78804730561834
"1595",23400,"C7","MCH90","R4",2,"2 MCH90 R4",0.720009991526604,0.024790531452226,2.98993850160482,2.69096397486054
"1596",24300,"C7","MCH90","R4",2,"2 MCH90 R4",0.720099996030331,-0.00113812176640538,3.13695867419303,1.69881462896061
"1597",25200,"C7","MCH90","R4",2,"2 MCH90 R4",0.733280000090599,0.00299102792507311,3.19922157837055,1.91373125884117
"1598",26100,"C7","MCH90","R4",2,"2 MCH90 R4",0.738679982721806,-0.000663134731704096,3.19963687441748,1.1565986348554
"1599",27000,"C7","MCH90","R4",2,"2 MCH90 R4",0.751659978181124,0.0430189759880514,3.46509120689765,2.4662559310382
"1600",27900,"C7","MCH90","R4",2,"2 MCH90 R4",0.767929975688457,0.0643084657596074,3.32633961018957,1.59213273076539
"1601",28800,"C7","MCH90","R4",2,"2 MCH90 R4",0.775010021030903,0.0553483387478389,3.35612748988481,1.35459007744309
"1602",29700,"C7","MCH90","R4",2,"2 MCH90 R4",0.787710021436214,0.0642652428435151,3.61274300065672,2.52440418856541
