,well,time,rbs,cds,experiment,GFP,OD660,mCherry
322,F5,6300,R2,GFP75,1,2294.8,0.13090999424457525,-1.0999999999999996
323,F5,7200,R2,GFP75,1,2396.1,0.16416999623179418,-1.4000000000000004
324,F6,0,R2,GFP90,1,2075.2,0.07009999826550474,1.3000000000000007
325,F6,900,R2,GFP90,1,1928.1,0.07901000529527662,0.6999999999999993
326,F6,1800,R2,GFP90,1,1899.8,0.07768999263644256,-0.6999999999999993
327,F6,2700,R2,GFP90,1,1846.5,0.07940000742673879,1.1999999999999993
328,F6,3600,R2,GFP90,1,1864.4,0.08679999783635176,0.09999999999999964
329,F6,4500,R2,GFP90,1,1901.0,0.09896999597549422,-0.09999999999999964
330,F6,5400,R2,GFP90,1,1973.2,0.12011000812053658,-0.09999999999999964
331,F6,6300,R2,GFP90,1,2016.8,0.15171000361442524,-1.0999999999999996
332,F6,7200,R2,GFP90,1,2102.1,0.19817000553011915,-0.40000000000000036
