,codon,charging_rate,ecol,gfp_rbs_foldx,species,protein
256,0.9,100.0,0.8,3.0,ATA_charged,405.0
257,0.9,100.0,0.8,3.0,TTT_charged,206.5
258,0.9,100.0,0.8,10.0,ATA_charged,445.6333333333333
259,0.9,100.0,0.8,10.0,TTT_charged,196.86666666666667
260,0.9,100.0,1.0,0.1,ATA_charged,748.9666666666666
261,0.9,100.0,1.0,0.1,TTT_charged,182.8
262,0.9,100.0,1.0,0.3,ATA_charged,747.5333333333334
263,0.9,100.0,1.0,0.3,TTT_charged,188.83333333333331
264,0.9,100.0,1.0,1.0,ATA_charged,741.5666666666667
265,0.9,100.0,1.0,1.0,TTT_charged,188.1
266,0.9,100.0,1.0,3.0,ATA_charged,727.6666666666667
267,0.9,100.0,1.0,3.0,TTT_charged,180.6
268,0.9,100.0,1.0,10.0,ATA_charged,694.2666666666667
269,0.9,100.0,1.0,10.0,TTT_charged,178.8
270,0.9,300.0,0.6,0.1,ATA_charged,295.9
271,0.9,300.0,0.6,0.1,TTT_charged,1056.7666666666667
272,0.9,300.0,0.6,0.3,ATA_charged,291.03333333333336
273,0.9,300.0,0.6,0.3,TTT_charged,1057.0
274,0.9,300.0,0.6,1.0,ATA_charged,299.8666666666667
275,0.9,300.0,0.6,1.0,TTT_charged,1014.7
276,0.9,300.0,0.6,3.0,ATA_charged,307.76666666666665
277,0.9,300.0,0.6,3.0,TTT_charged,939.2333333333333
278,0.9,300.0,0.6,10.0,ATA_charged,346.33333333333337
279,0.9,300.0,0.6,10.0,TTT_charged,781.8333333333333
280,0.9,300.0,0.8,0.1,ATA_charged,488.9333333333333
281,0.9,300.0,0.8,0.1,TTT_charged,692.1333333333333
282,0.9,300.0,0.8,0.3,ATA_charged,488.4333333333333
283,0.9,300.0,0.8,0.3,TTT_charged,689.7
284,0.9,300.0,0.8,1.0,ATA_charged,494.6333333333333
285,0.9,300.0,0.8,1.0,TTT_charged,675.8333333333333
286,0.9,300.0,0.8,3.0,ATA_charged,497.6333333333333
287,0.9,300.0,0.8,3.0,TTT_charged,646.6
288,0.9,300.0,0.8,10.0,ATA_charged,516.9333333333333
289,0.9,300.0,0.8,10.0,TTT_charged,583.8333333333333
290,0.9,300.0,1.0,0.1,ATA_charged,749.1333333333333
291,0.9,300.0,1.0,0.1,TTT_charged,558.5666666666667
292,0.9,300.0,1.0,0.3,ATA_charged,748.0666666666667
293,0.9,300.0,1.0,0.3,TTT_charged,554.9333333333333
294,0.9,300.0,1.0,1.0,ATA_charged,742.9666666666667
295,0.9,300.0,1.0,1.0,TTT_charged,546.3333333333333
296,0.9,300.0,1.0,3.0,ATA_charged,731.7333333333333
297,0.9,300.0,1.0,3.0,TTT_charged,530.5
298,0.9,300.0,1.0,10.0,ATA_charged,707.6
299,0.9,300.0,1.0,10.0,TTT_charged,506.8
