Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,9/6/2024,,,,,,,,
Time:,11:46:29 AM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
F3,0.176300004124641,0.168699994683266,0.166500002145767,0.166600003838539,0.165299996733665,0.170300006866455,0.180299997329712,0.193900004029274,0.217999994754791
F4,0.168799996376038,0.167899996042252,0.167500004172325,0.163900002837181,0.169799998402596,0.179100006818771,0.19539999961853,0.219699993729591,0.257499992847443
F5,0.174400001764297,0.17339999973774,0.170699998736382,0.170499995350838,0.171599999070168,0.177000001072884,0.184799998998642,0.202999994158745,0.230199992656708
F6,0.166999995708466,0.165900006890297,0.163699999451637,0.159899994730949,0.160899996757507,0.165600001811981,0.17229999601841,0.182699993252754,0.196899995207787
F7,0.0751999989151955,0.0751999989151955,0.0750000029802322,0.0753000006079674,0.0759000033140183,0.0754000023007393,0.0763999968767166,0.0759999975562096,0.0759000033140183
F8,0.0811000019311905,0.0813999995589256,0.0825000032782555,0.0851999968290329,0.0898000001907349,0.0962999984622002,0.102899998426437,0.109099999070168,0.114200003445148
F9,0.0808999985456467,0.0810000002384186,0.0815000012516975,0.0825000032782555,0.0841000005602837,0.0859000012278557,0.0877000018954277,0.0895000025629997,0.0913000032305718
F10,0.0822999998927116,0.0825000032782555,0.0828000009059906,0.0835999995470047,0.0847000032663345,0.0859000012278557,0.0870999991893768,0.0882000029087067,0.0892999991774559
F11,0.0790000036358833,0.0790000036358833,0.0794000029563904,0.0799999982118607,0.0807999968528748,0.0816999971866608,0.0825999975204468,0.0835999995470047,0.0842999964952469
G2,0.169100001454353,0.165900006890297,0.162599995732307,0.161899998784065,0.164599999785423,0.170699998736382,0.181400001049042,0.19650000333786,0.219500005245209
G3,0.170900002121925,0.167099997401238,0.163000002503395,0.159799993038178,0.162599995732307,0.165299996733665,0.17229999601841,0.18469999730587,0.203400000929832
G4,0.167699992656708,0.175400003790855,0.173299998044968,0.174400001764297,0.178000003099442,0.18639999628067,0.184599995613098,0.202299997210503,0.229800000786781
G5,0.182199999690056,0.164299994707108,0.161799997091293,0.162499994039536,0.168699994683266,0.17849999666214,0.193800002336502,0.218299999833107,0.25450000166893
G6,0.169100001454353,0.174099996685982,0.17399999499321,0.176699995994568,0.176899999380112,0.187199994921684,0.203899994492531,0.229100003838539,0.267399996519089
G7,0.0746000036597252,0.0744000002741814,0.0744000002741814,0.0747999995946884,0.0749000012874603,0.0751999989151955,0.0750999972224236,0.0751999989151955,0.0753000006079674
G8,0.0812000036239624,0.0816000029444695,0.0825999975204468,0.0843999981880188,0.0866999998688698,0.0890000015497208,0.090999998152256,0.0926999971270561,0.0940999984741211
G9,0.0810000002384186,0.0812999978661537,0.0819000005722046,0.0830999985337257,0.0842999964952469,0.0854000002145767,0.086499996483326,0.0873000025749207,0.0879999995231628
G10,0.0803999975323677,0.0808999985456467,0.0817999988794327,0.0829000025987625,0.0839999988675118,0.0852999985218048,0.0864000022411346,0.0872000008821487,0.0879999995231628
G11,0.0789000019431114,0.0790000036358833,0.0790999978780747,0.0795999988913536,0.0802000015974045,0.0806000009179115,0.0812999978661537,0.0816000029444695,0.0820000022649765
,,,,,,,,,
,,,,,,,,,
End Time:,,,,,,,,,
