"","time","well","iptg","strain","rbs","temp","OD660","fluor","mCherry","GFP","gfp_norm","mch_norm","lnOD660","experiment","groupID","gfp_expression","mch_expression","growthrate","tgt_fluor","tgt_expression"
"1231",4500,"E2",0.01875,"MCH75","R0.25",37.0666666666667,0.100149994343519,"mCherry",221,2.59999999999999,25.9610598786643,2206.69008968647,-2.3010862733504,1,"1 MCH75 R0.25",44744.3197265003,1502130.73367539,1.34473372007775,221,1502130.73367539
"1232",5400,"E2",0.01875,"MCH75","R0.25",37,0.136960006505251,"mCherry",242.4,3.5,25.5549053282632,1769.85972902029,-1.98806631909126,1,"1 MCH75 R0.25",133007.186281139,2137287.88989692,1.36978423916391,242.4,2137287.88989692
"1233",6300,"E2",0.01875,"MCH75","R0.25",37.1333333333333,0.17576000764966,"mCherry",260.9,2.40000000000001,13.654983474875,1484.41049524786,-1.73863580738246,1,"1 MCH75 R0.25",10123.5446545382,2183311.13049532,1.26815737580345,260.9,2183311.13049532
"1234",7200,"E2",0.01875,"MCH75","R0.25",37.3,0.222309991717339,"mCherry",304.3,5.90000000000001,26.5395178796179,1368.80937131656,-1.5036825120255,1,"1 MCH75 R0.25",99395.4161422575,2482336.80314253,1.14012616913199,304.3,2482336.80314253
"1235",8100,"E2",0.01875,"MCH75","R0.25",37.1,0.274239995330572,"mCherry",391.8,4.09999999999999,14.9504086559577,1428.67563692787,-1.29375166059952,1,"1 MCH75 R0.25",29689.2526359942,3380616.2334852,1.00733461275088,391.8,3380616.2334852
"1236",9000,"E2",0.01875,"MCH75","R0.25",37.1,0.327189993113279,"mCherry",505.7,4.7,14.3647425010727,1545.58516655159,-1.11721425811585,1,"1 MCH75 R0.25",19006.3883533344,4170318.37786078,0.870852060975405,505.7,4170318.37786078
"1237",9900,"E2",0.01875,"MCH75","R0.25",37.0666666666667,0.377159993350506,"mCherry",738.3,7.3,19.3551811663542,1957.5246924821,-0.975085796015094,1,"1 MCH75 R0.25",64068.1077440734,6242064.21163688,0.763550011367362,738.3,6242064.21163688
"1238",10800,"E2",0.01875,"MCH75","R0.25",37.1,0.422149980813265,"mCherry",1067.8,6.8,16.1080192089549,2529.43278107677,-0.862394623316671,1,"1 MCH75 R0.25",9981.20849997963,8467391.8774828,0.641287888708826,1067.8,8467391.8774828
"1239",11700,"E2",0.01875,"MCH75","R0.25",37.2,0.450919990986586,"mCherry",1560,7.8,17.297968943302,3459.59378866041,-0.79646535879475,1,"1 MCH75 R0.25",35967.7271578535,11356080.7745417,0.497286301804766,1560,11356080.7745417
"1240",12600,"E2",0.01875,"MCH75","R0.25",37.1666666666667,0.475269987434149,"mCherry",2188.9,6.3,13.2556234699606,4605.59273228521,-0.743872241824313,1,"1 MCH75 R0.25",14030.3702760183,14759949.5303713,0.373342016291537,2188.9,14759949.5303713
"1241",13500,"E2",0.01875,"MCH75","R0.25",37.1,0.496620004624128,"mCherry",2880.1,7.90000000000001,15.9075347880503,5799.40391684349,-0.699930123545577,1,"1 MCH75 R0.25",4860.22366387763,17349378.4054883,0.275155672469517,2880.1,17349378.4054883
"1242",14400,"E2",0.01875,"MCH75","R0.25",37.0333333333333,0.517939979583025,"mCherry",3680.1,8.3,16.0250228350436,7105.26343798121,-0.657895912966887,1,"1 MCH75 R0.25",11426.6370334239,19899869.2816089,0.204498710349785,3680.1,19899869.2816089
"1243",15300,"E2",0.01875,"MCH75","R0.25",37.1666666666667,0.53899000659585,"mCherry",4487.8,9.2,17.0689621095302,8326.31392990757,-0.618058248883517,1,"1 MCH75 R0.25",10162.3558569686,21252389.6271662,0.178407109911233,4487.8,21252389.6271662
"1244",16200,"E2",0.01875,"MCH75","R0.25",37.0333333333333,0.562000009417534,"mCherry",5355.3,11.9,21.1743768693765,9529.00339903966,-0.576253412331268,1,"1 MCH75 R0.25",38906.6011843024,21998903.9267812,0.167618829493044,5355.3,21998903.9267812
"1245",17100,"E2",0.01875,"MCH75","R0.25",37.3,0.582130006700754,"mCherry",6419.6,11.7,20.0986031733877,11027.7771736649,-0.541061476985202,1,"1 MCH75 R0.25",25355.119889872,23616959.6974215,0.158868646560375,6419.6,23616959.6974215
"1246",18000,"E2",0.01875,"MCH75","R0.25",37.0666666666667,0.6078399784863,"mCherry",7472.5,10.1,16.6162153814758,12293.5316275325,-0.497843624936512,1,"1 MCH75 R0.25",11534.764577471,24302467.3242227,0.160052288030374,7472.5,24302467.3242227
